"Player","CAPS","Projected ELO","Top Engine Match","Total Games / Moves"
"Magnus Carlsen","98.36","2961","85.26%","461 / 18850"
"Vladimir Kramnik","98.15","2868","84.51%","1139 / 40233"
"Garry Kasparov","98.01","2816","84.37%","956 / 30752"
"Bobby Fischer","97.89","2775","83.50%","379 / 13842"
"Viswanathan Anand","97.83","2759","83.43%","1461 / 48331"
"Anatoly Karpov","97.61","2698","82.58%","1905 / 69289"
"Jose Raul Capablanca","97.46","2664","81.75%","556 / 19066"
"Mikhail Tal","97.32","2636","81.72%","2102 / 65625"
"Boris Spassky","97.23","2619","80.87%","1911 / 56626"
"Vasily Smyslov","97.23","2618","81.31%","2360 / 81814"
"Mikhail Botvinnik","97.14","2602","80.83%","813 / 30802"
"Max Euwe","96.81","2547","80.58%","1049 / 34953"
"Alexander Alekhine","96.81","2547","80.75%","1003 / 37857"
"Tigran Petrosian","96.78","2543","79.43%","1666 / 53055"
"Emanuel Lasker","96.45","2498","79.61%","502 / 19307"
"Paul Morphy","95.67","2409","80.22%","136 / 4332"
"Wilhelm Steinitz","94.73","2323","78.25%","546 / 19443"